transcript_url,election,date,gop_candidate,dem_candidate,other_candidate,vp_debate,n_meta_lines
september-26-1960-debate-transcript,1960,1960-09-26,NIXON,KENNEDY,,0,3
october-7-1960-debate-transcript,1960,1960-10-07,NIXON,KENNEDY,,0,3
october-13-1960-debate-transcript,1960,1960-10-13,NIXON,KENNEDY,,0,3
october-21-1960-debate-transcript,1960,1960-10-21,NIXON,KENNEDY,,0,3
september-23-1976-debate-transcript,1976,1976-09-23,FORD,CARTER,,0,3
october-6-1976-debate-transcript,1976,1976-10-06,FORD,CARTER,,0,3
october-22-1976-debate-transcript,1976,1976-10-22,FORD,CARTER,,0,3
september-21-1980-debate-transcript,1980,1980-09-21,REAGAN,,ANDERSON,0,3
october-28-1980-debate-transcript,1980,1980-10-28,REAGAN,CARTER,,0,3
october-7-1984-debate-transcript,1984,1984-10-07,REAGAN,MONDALE,,0,3
october-11-1984-debate-transcript,1984,1984-10-11,GHW_BUSH,FERRARO,,1,3
october-21-1984-debate-transcript,1984,1984-10-21,REAGAN,MONDALE,,0,3
september-25-1988-debate-transcript,1988,1988-09-25,GHW_BUSH,DUKAKIS,,0,3
october-5-1988-debate-transcripts,1988,1988-10-05,QUAYLE,BENTSEN,,1,3
october-13-1988-debate-transcript,1988,1988-10-13,GHW_BUSH,DUKAKIS,,0,3
october-11-1992-first-half-debate-transcript,1992,1992-10-11,GHW_BUSH,B_CLINTON,PEROT,0,5
october-11-1992-second-half-debate-transcript,1992,1992-10-11,GHW_BUSH,B_CLINTON,PEROT,0,4
october-13-1992-debate-transcript,1992,1992-10-13,QUAYLE,GORE,STOCKDALE,1,5
october-15-1992-first-half-debate-transcript,1992,1992-10-15,GHW_BUSH,B_CLINTON,PEROT,0,4
october-15-1992-second-half-debate-transcript,1992,1992-10-15,GHW_BUSH,B_CLINTON,PEROT,0,4
october-6-1996-debate-transcript,1996,1996-10-06,DOLE,B_CLINTON,,0,3
october-9-1996-debate-transcript,1996,1996-10-09,KEMP,GORE,,1,3
october-16-1996-debate-transcript,1996,1996-10-16,DOLE,B_CLINTON,,0,3
october-3-2000-transcript,2000,2000-10-03,GW_BUSH,GORE,,0,3
october-5-2000-debate-transcript,2000,2000-10-05,CHENY,LIEBERMAN,,1,3
october-11-2000-debate-transcript,2000,2000-10-11,GW_BUSH,GORE,,0,3
october-17-2000-debate-transcript,2000,2000-10-17,GW_BUSH,GORE,,0,3
september-30-2004-debate-transcript,2004,2004-09-30,GW_BUSH,KERRY,,0,7
october-5-2004-transcript,2004,2004-10-05,CHENY,EDWARDS,,1,7
october-8-2004-debate-transcript,2004,2004-10-08,GW_BUSH,KERRY,,0,8
october-13-2004-debate-transcript,2004,2004-10-13,GW_BUSH,KERRY,,0,8
2008-debate-transcript,2008,2008-09-26,MCCAIN,OBAMA,,0,8
2008-debate-transcript-2,2008,2008-10-02,PALIN,BIDEN,,1,7
october-7-2008-debate-transcrip,2008,2008-10-07,MCCAIN,OBAMA,,0,8
october-15-2008-debate-transcript,2008,2008-10-15,MCCAIN,OBAMA,,0,8
october-3-2012-debate-transcript,2012,2012-10-03,ROMNEY,OBAMA,,0,6
october-11-2012-the-biden-romney-vice-presidential-debate,2012,2012-10-11,RYAN,BIDEN,,1,5
october-16-2012-the-second-obama-romney-presidential-debate,2012,2012-10-16,ROMNEY,OBAMA,,0,6
october-22-2012-the-third-obama-romney-presidential-debate,2012,2012-10-22,ROMNEY,OBAMA,,0,6
september-26-2016-debate-transcript,2016,2016-09-26,TRUMP,H_CLINTON,,0,8
october-4-2016-debate-transcript,2016,2016-10-04,PENCE,KAINE,,1,8
october-9-2016-debate-transcript,2016,2016-10-09,TRUMP,H_CLINTON,,0,9
october-19-2016-debate-transcript,2016,2016-10-19,TRUMP,H_CLINTON,,0,8
