election,raw_name,clean_name
1960,MR. CATER,CATER
1960,MR. CHANCELLOR,CHANCELLOR
1960,MR. CRONKITE,CRONKITE
1960,MR. DRUMMOND,DRUMMOND
1960,MR. EDWARDS,EDWARDS
1960,MR. FLEMING,FLEMING
1960,"HOWARD K. SMITH, MODERATOR",H_SMITH
1960,MR. SM1TH,H_SMITH
1960,Mr. SMITH,H_SMITH
1960,MR. SMITH,H_SMITH
1960,MR. HOWE,HOWE
1960,"QUINCY HOWE, MODERATOR",HOWE
1960,Mr. KENNEDY,KENNEDY
1960,MR. KENNEDY,KENNEDY
1960,SENATOR KENNEDY,KENNEDY
1960,MR. LEVY,LEVY
1960,MR. LEVY;,LEVY
1960,"FRANK McGEE, MODERATOR",MCGEE
1960,MR. McGEE,MCGEE
1960,MR. MORGAN,MORGAN
1960,MR. NIVEN,NIVEN
1960,Mr. NIXON,NIXON
1960,MR. NIXON,NIXON
1960,MR. NIXON;,NIXON
1960,MR. NOVINS,NOVINS
1960,"BILL SHADEL, MODERATOR",SHADEL
1960,MR. SHADEL,SHADEL
1960,MR. SINGISER,SINGISER
1960,MR. SPIVAK,SPIVAK
1960,MR. VANOCUR,VANOCUR
1960,VOICE,VOICE
1960,MR. VON FREMD,VON FREMD
1960,MR. WARREN,WARREN
1976,MR. CARTER,CARTER
1976,MS. DREW,DREW
1976,MR. FORD,FORD
1976,MR. FORD;,FORD
1976,MR.FORD,FORD
1976,MR. FRANKEL,FRANKEL
1976,MS. FREDERIC,FREDERIC
1976,MS. FREDERICK,FREDERICK
1976,MR. GANNON,GANNON
1976,MR. KRAFT,KRAFT
1976,MR. MAYNARD,MAYNARD
1976,MR. NELSON,NELSON
1976,"EDWIN NEWMAN, MODERATOR",NEWMAN
1976,MR. NEWMAN,NEWMAN
1976,MR. REYNOLDS,REYNOLDS
1976,MR. TREWHITT,TREWHITT
1976,MR. VALERIANI,VALERIANI
1976,MS. WALTERS,WALTERS
1980,ANDERSON,ANDERSON
1980,REP. JOHN B. ANDERSON,ANDERSON
1980,MR. CARTER,CARTER
1980,"CHARLES CORDDRY, MILITARY CORRESPONDENT, THE SUN, BALTIMORE",CORDDRY
1980,CORDDRY,CORDDRY
1980,HARRY ELLIS,ELLIS
1980,MR. ELLIS,ELLIS
1980,"MR. ELLIS, CHRISTIAN SCIENCE MONITOR",ELLIS
1980,GOLDEN,GOLDEN
1980,"GOLDEN, EDITORIAL WRITER, THE NEW YORK TIMES",GOLDEN
1980,GREENBERG,GREENBERG
1980,"GREENBERG, SYNDICATED COLUMNIST",GREENBERG
